source,symbol,link,date,title,content
아시아경제,009730,/news/news_read.nhn?article_id=0003977229&office_id=277&mode=search&query=코센&page=1,2017-04-18 13:20,코센 &quot;최대주주 변경 주식양수도 계약 해지&quot;,"[아시아경제 조강욱 기자] 코센은 지난 10일 체결한 최대주주 변경을 수반하는 주식양수도 계약이 해지됐다고 18일 공시했다. 회사 측은 ""양도인은 계약금 17억5000만원을 지난 17일 지급하기로 했으나 이행되지 않았고, 계약이 해지됐음을 최대주주로부터 통보받았다""고 설명했다. 앞서 코센 최대주주인 이제원씨는 보유주식 18.20%를 일라코퍼레이션과 토러스홀딩스에 양도하는 주식 매매계약을 체결했다. 매매대금은 175억원이다."
아시아경제,009730,/news/news_read.nhn?article_id=0003625151&office_id=277&mode=search&query=코센&page=1,2015-11-13 16:21,"코센, 3Q 영업손 3억5600만원",[아시아경제 김혜원 기자] 코센은 3분기 영업손실이 3억5600만원을 기록했다고 13일 공시했다. 매출액은 117억2900만원으로 12.4% 감소했다. 당기순손실은 8억5500만원으로 적자 전환했다.
머니투데이,009730,/news/news_read.nhn?article_id=0003708578&office_id=008&mode=search&query=코센&page=1,2016-07-08 15:07,"산은, 코센 보유 지분율 9.92%&rarr;8.43%",[머니투데이 백지수 기자] 한국산업은행은 보유 중이던 코센 주식을 장내매도함에 따라 코센 보유 지분이 기존 9.92%에서 8.43%로 감소했다고 8일 공시했다. textlinktopstart textlinktopend textlinkstart
머니투데이,009730,/news/news_read.nhn?article_id=0003710863&office_id=008&mode=search&query=코센&page=1,2016-07-13 14:17,"코센, 中과 300억 전기차 후공정 수주..20조 시장 '공략'","[머니투데이 김건우 기자] 스테인리스 강관 제조 및 신재생 에너지 전문기업 코센이 인수한 이티에이치가 중국 역신전자그룹(리센배터리)에 300억원(2600만 달러) 규모의 전기차용 충전기 생산 후공정 장비 수주 계약을 체결했다고 13일 밝혔다. 이는 이티에이치 지난해 매출액(127억원)의 약 2.4배에 해당하는 규모다. 이티에이치는 현재 전기 자동차용 2차 전지 생산에 필수적으로 사용되는 후공정 장비와 가정용 에너지저장장치(ESS)를 전문적으로 생산하고 있다. 이번 계약에 성공한 포메이션 장비는 2차 전지 생산 공정 중 활성화 공정에서 필수적으로 사용되는 핵심 장비다. 리센배터리는 중국의 3대 에너지 국영기업인 중국해양석유총공사(CNOOC)의 계열사로 소형전지부터 전기차용 2차전지까지의 완제품 기술을 보유한 배터리 전문기업이다. 리센배터리는 중국 정부 지원에 힘입어 기존 글로벌 2차전지 기업들을 빠르게 추격하며 작년 세계 2차전지 시장 점유율 6위(6.5%), 중국 시장 점유율 2위(10%)에 오른 바 있다. 중국은 전기차를 핵심으로 2013년부터 신재생에너지 육성에 열을 올리고 있다. 정부의 전기차 시장에 대한 전폭적인 지원에 힘입어 중국 내 기업들이 지난 상반기 전기차 배터리 업계에 20조원(1,160억위안)에 달하는 대규모 투자를 단행한 것으로 알려졌다. 이티에이치는 이번 역신전자그룹 리센배터리와의 계약으로 올 들어서만 총 7건의 계약에 성공했다. 코센 관계자에 따르면 “올해 중국 전기차 시장 확대에 힘입어 현재까지 누적 수주금액이 작년 매출 대비 약 5배 이상 높아져 약 680억원을 기록하는 등 폭발적인 성장세를 보여주고 있다”며 “하반기에도 국내 및 중국 다수의 2차 전지 생산업체와 공급에 대한 구체적인 논의가 진행되고 있어 추가적인 수주가 이어질 수 있을 것으로 기대한다”고 말했다 textlinktopstart textlinktopend textlinkstart"
머니투데이,009730,/news/news_read.nhn?article_id=0004015556&office_id=008&mode=search&query=코센&page=1,2018-02-26 17:35,"코센, 이티에이치 주식 10만주 취득 결정",[머니투데이 안재용 기자] 코센은 이티에이치 주식 10만주를 50억원에 취득키로 결정했다고 26일 공시했다.
한국경제,009730,/news/news_read.nhn?article_id=0003757207&office_id=015&mode=search&query=코센&page=1,2017-04-18 13:39,"코센, 최대주주 변경 주식양수도 계약 해지",[ 한민수 기자  ] 코센은 18일 양수인의 계약 불이행으로 최대주주 변경을 수반하는 주식 양수도 계약이 해지됐다고 공시했다.
전자신문,009730,/news/news_read.nhn?article_id=0002633470&office_id=030&mode=search&query=코센&page=1,2017-08-14 10:12,"[ET투자뉴스]코센, 17년2분기 실적 발표",08월 14일 코센(009730)의 2017년 2분기 연결 확정 실적이 발표됐다. 지난해 같은 기간 대비해서 매출액은 2.23% 상승하여 133억원을 기록했다. 영업이익은 0.4억원으로 -11.3억원에서 흑자전환되었다. 당기순이익은 55.1억원으로 -14.8억원에서 흑자전환되었다. 이번분기 기준으로 추정되는 코센의 자기자본이익률(ROE)은 80%로 나타났다. 이는 최근 일년과 비교했을 때 급등한 수치이다. 2분기 자기자본은 상승하였으나 당기순이익 상승폭이 더 컸기 때문이다. 전년 동기인 2016년 2분기 ROE는 -22.7%로 이번 분기에 102.7%p 상승했다. 한편 동종목의영업이익률은 0.3%이다. 지난해 동기 영업이익률은 -8.6%로 이번 2분기가 8.9%p 상승했다. 주가가 1주당 수익의 몇배가 되는지 나타내는 주가수익비율(PER)은 19.2배로 나타났다. 직전분기 PER은 175.56배로 이번 분기에 하락했다.주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 3.41배이다. 지난해 동기 PBR은 2.8배로 이번 2분기 PBR이 상승했다. 다음은 코센과 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 코센의 매출액 증감율은 타 종목 대비 가장 우수한 편이다. 그리고 주가의 하락율이 가장 큰 편으로 나타났다.
파이낸셜뉴스,009730,/news/news_read.nhn?article_id=0003804620&office_id=014&mode=search&query=코센&page=1,2017-04-18 15:39,"[fnRASSI]장마감, 코스닥 하락 종목(코센 -16.76%&darr;)","18일 코스닥 시장에서 하락한 종목으로 코센(009730) -16.76%, 사파이어테크놀로(123260) -16.69%, 이엘케이(094190) -7.14% 등이 있다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
서울경제,009730,/news/news_read.nhn?article_id=0003231635&office_id=011&mode=search&query=코센&page=1,2018-02-27 09:31,"(코)코센, 전일 대비 14.29% 상승.. 일일회전율은 13.42% 기록","[서울경제] 코센(009730) 은 27일 오전 9시 30분 현재 14.29% 오른 1,560원에 거래되고 있으며, 47(매도):53(매수)의 매수우위를 기록하고 있다. 거래대금은 85억5,536만, 거래량은 539만1,378주로 거래량회전율은 13.42%로 나타났다. 지난 1개월간 코센은 상승 10회, 하락 16회를 기록했고, 주가수익률은 12.64% 표준편차는 2.54%를 기록했다. 이 기간 ' 금속업 ' 업종 평균 주가수익률은 5.02%로 나타났으며, 변동성은 1.20%를 기록했다. 이 시각 현재 ' 금속업 '은 0.00% 상승 중이며, 51(매도):49(매수)의 매도우위를 기록하고 있다."
아시아경제,009730,/news/news_read.nhn?article_id=0004194000&office_id=277&mode=search&query=코센&page=1,2018-03-09 14:34,[CEO인터뷰] 코센 이제원 대표 &ldquo;자회사 이티에이치 사상 최대실적 기대&rdquo;,"코센 이제원 대표이사 [팍스넷데일리 배요한 기자] 코센이 주력 강관 사업의 회복과 자회사 이티에이치의 대규모 수주를 바탕으로 성장세를 이어갈 전망이다. 코센 이제원 대표이사는 성남시 분당구 본사에서 진행된 팍스넷데일리와 진행된 인터뷰에서 “올해 사상 최대 실적을 기대한다”며 자신감을 내비쳤다. 이 대표는 “니켈 가격이 완만한 상승세에 들어서면서 주력 강관 사업은 완만한 회복세가 진행 중이다”면서 “특히 대규모 수주가 예상되는 자회사 이티에이치가 실적 견인차 역할을 톡톡히 할 것”이라고 전했다. 1974년 설립된 코센은 스테인리스 강관 판매 제조 업체다. 지난 2014년 사업다각화 및 신성장동력 확보를 위해 신재생에너지 , 케이블카 사업에 뛰어들었다. 올해 2~3㎿ 규모의 소형 태양광 발전소를 설립할 계획이다. ◆“니켈가격 상승세 …주력 강관 사업 호조 기대” 니켈 가격 추이(자료=런던금속거래소) 니켈의 가격이 상승 추세를 나타내면서 주력 강관 사업은 회복 국면에 접어들 전망이다. 강관사업 원재료인 스테인레스는 구성 가격의 60% 이상을 차지하는 니켈 가격에 직접적인 영향을 받는다. 지난 2016년 니켈 가격이 폭락하면서 실적은 크게 악화됐다.판매 가격이 매출원가 이하로 내려가면서 영업손실을 기록했고, 고가에 매입한 장기 재고를 모두 정리하면서 대규모 재고 손실도 발생했다. 2016년 코센의 매출액과 영업손실은 539억원과 65억원으로 전년대비 6.7% 감소, 적자 전환했다. 이 대표는 “자체 사업이 부진한 것은 아니었지만, 니켈 가격이 톤당 5만달러에서 8000달러까지 내려가면서 재고가 판매가격에 영향을 미쳤다”면서도 “니켈 재고 손실을 대부분 반영했기 때문에 향후 손실이 발생하지 않을 것으로 전망한다”고 전했다. 강관사업 회복세로 지난해 코센의 연결기준 영업이익은 10억원으로 흑자전환했고, 매출액은 573억원으로 6.2% 늘었다. ◆캐시카우 케이블카 착공 눈앞 울돌목 해상 케이블카 조감도 코센의 케이블카 사업은 향후 캐시카우 역할을 톡톡히 할 것으로 기대된다. 지난 2015년 코센은 진도 ·해남군과 울돌목 케이블카 MOU를 체결하고 착공을 앞두고 있다. 300억원이 투입되는 진도-해남 해상케이블카는 명량대첩 장소인 울돌목 해상 950m를 연결하는 레저 시설이다. 이 대표는 “울돌목 케이블카는 사업자 지정을 마치고 모든 인허가가 마무리 단계에 있다”면서 “상반기 착공이 목표”라고 전했다. 이어 “연간 이용객은 120~150만명이 달할 것으로 예상되고 연 100억원 이상의 수익을 기록할 전망”이라며 “지리적으로 해남은 땅끝마을과 가까워 관광객이 많이 찾는 곳으로, 내년에는 진도 대명해양리조트도 완공될 예정에 있어 시너지 효과가 기대된다”고 강조했다. ◆자회사 이티에이치 사상 최대 실적 기대 자회사 이티에이치는 올해 사상 최대 실적을 기록할 전망이다. 이티에이치는 2차전지 후공정 검사장비 전문업체다. 주요 고객사에는 LG화학, 삼성SDI, 중국 LISHEN, EVE, DYNABAT 등이 있다. 이 대표는 이티에이치에 대해 “지난 2년 동안 9000만달러의 해외수주를 달성하며 급성장했다”며 “향후 시장이 더 넓어질 것으로 전망되며, 올해 매출은 보수적으로 6000만달러 이상 가능할 것”이라고 설명했다. 중국 전기차 배터리 업체들이 투자가 10년 이상 장기적으로 진행될 예정이어서, 2차전지 후공정 장비에서 독보적인 기술력을 보유한 이티에이치의 입지가 높다는 설명이다. 과거 이티에이치는 국내 유명 배터리업체들의 투자가 지연되면서 실적이 큰 폭으로 감소해 어려움을 겪기도 했다. 200억원대를 기록하던 매출액은 지난 2014년 66억원까지 감소했고, 재무구조까지 악화돼 자본잠식에 빠지기도 했다. 그러나 지난해부터 중국 배터리 업체들의 투자가 본격화되면서 수주가 폭발적으로 증가했고 2015년 154억원이던 매출액은 지난해 500억원대로 급증했다. 이 대표는 “중국 현지 업체들의 배터리 공장 증설 계획이 예상되면서 실적이 크게 개선될 전망”이라며 “특히 원가 구조 시스템을 구축한 만큼 매출과 함께 높은 영업이익률을 기록할 것”이라고 말했다. 한편 이티에이치는 상장 준비를 위한 주관사 선정을 끝낸 상태로, 내년 초 상장이 목표다. 코센은 이티에이치의 지분 34.45%를 보유하고 있다."
